rank,feature,random_forest_importance,selected,ridge_coefficient,absolute_ridge_coefficient
1,SLC16A8 (23539),0.0019368072346699265,True,0.0018940675799432288,0.0018940675799432288
2,SOCS7 (30837),0.001669780720284163,True,0.0062164427363230225,0.0062164427363230225
3,IL31RA (133396),0.00148178596315991,True,-0.005749662482532848,0.005749662482532848
4,TCF20 (6942),0.0014669890483558577,True,0.00466333595590247,0.00466333595590247
5,SEMA7A (8482),0.0011238122370310034,True,-0.0019575705400882116,0.0019575705400882116
6,TTYH1 (57348),0.0010930155039115719,True,0.0024261740911577876,0.0024261740911577876
7,INSYN2B (100131897),0.0010566615791853101,True,-0.0023332477662117877,0.0023332477662117877
8,TMCC1 (23023),0.0009541900170850883,True,0.004990022009407793,0.004990022009407793
9,SATB1 (6304),0.0008637607866548978,True,-0.0025000525584937877,0.0025000525584937877
10,LTBP2 (4053),0.0008483030132265878,True,-0.002691308086824074,0.002691308086824074
11,XRCC4 (7518),0.0008454201690704786,True,-0.005503253935987114,0.005503253935987114
12,H3C13 (653604),0.0008245500554494424,True,0.005241394161873593,0.005241394161873593
13,TMEM191C (645426),0.000809499063364529,True,-0.00021627657119985632,0.00021627657119985632
14,ARHGAP22 (58504),0.000801137823642639,True,-0.001954996356019504,0.001954996356019504
15,GAL (51083),0.0007973557383075534,True,-0.003261564973806882,0.003261564973806882
16,THAP4 (51078),0.0007954765689166438,True,-0.0032083281724357192,0.0032083281724357192
17,POU2F2 (5452),0.0007892699774253628,True,-0.004869396699158347,0.004869396699158347
18,CFL2 (1073),0.0007882175362676638,True,-0.00606860129343489,0.00606860129343489
19,SLC16A12 (387700),0.0007868102791948779,True,-0.004453775754750195,0.004453775754750195
20,TMSB10 (9168),0.0007839210302484207,True,-0.0020100905738291196,0.0020100905738291196
21,TMEFF1 (8577),0.0007726885208330241,True,-0.004079570843093508,0.004079570843093508
22,QSOX1 (5768),0.0007668606958898144,True,-0.005052788656195507,0.005052788656195507
23,SDHAF1 (644096),0.0007660905730297635,True,0.0004831315736373069,0.0004831315736373069
24,PSG11 (5680),0.0007297533643811339,True,-0.006574781821106212,0.006574781821106212
25,LGALS8 (3964),0.0007135600002398125,True,0.0001105371423305333,0.0001105371423305333
26,TBC1D30 (23329),0.0007111443660833091,True,-0.00148135928705539,0.00148135928705539
27,RIPOR1 (79567),0.0007003219579506517,True,-0.0023760339047433333,0.0023760339047433333
28,CASP4 (837),0.0006985580374721715,True,-0.001583342209362069,0.001583342209362069
29,SLC5A1 (6523),0.0006978175735631709,True,-0.00029062462571086915,0.00029062462571086915
30,BICDL1 (92558),0.0006921028098905254,True,0.004155394619697226,0.004155394619697226
31,NME7 (29922),0.0006804292053917571,True,-0.0025416646930988933,0.0025416646930988933
32,NUDT8 (254552),0.0006738440872150872,True,0.003531349811489848,0.003531349811489848
33,TPCN2 (219931),0.0006720961977783293,True,0.005578545957940682,0.005578545957940682
34,CDC42BPG (55561),0.0006717118862231965,True,0.001366272033666599,0.001366272033666599
35,NEUROD1 (4760),0.0006715627514915106,True,-0.005088901961363311,0.005088901961363311
36,LRP6 (4040),0.0006672283552498819,True,0.0024185335909772676,0.0024185335909772676
37,SPATA13 (221178),0.0006637333105517564,True,0.0033519934996423537,0.0033519934996423537
38,DUSP12 (11266),0.0006627866092036891,True,0.001975196053986488,0.001975196053986488
39,HSPB9 (94086),0.0006562941224273515,True,0.003857044170887341,0.003857044170887341
40,CDV3 (55573),0.0006466951203576524,True,0.0014781584555557414,0.0014781584555557414
41,RFPL2 (10739),0.0006386772329275288,True,0.0019943136330535663,0.0019943136330535663
42,ARMCX1 (51309),0.0006365182714089781,True,-0.004532902229541773,0.004532902229541773
43,HYAL1 (3373),0.0006360279204468927,True,0.004109230260771055,0.004109230260771055
44,SCIN (85477),0.0006244655867750189,True,0.004404497347520733,0.004404497347520733
45,CYLD (1540),0.0006213181156460813,True,-8.173162468276483e-05,8.173162468276483e-05
46,MRPL17 (63875),0.0006073743428073586,True,-0.004272497489425379,0.004272497489425379
47,FAM83H (286077),0.0006035878877683926,True,0.002012970618654579,0.002012970618654579
48,LSR (51599),0.0006010695910626242,True,0.0019190122632295557,0.0019190122632295557
49,HR (55806),0.0005995602665494474,True,0.006030595912069088,0.006030595912069088
50,PIK3C2B (5287),0.0005966188670444944,True,0.004456429791000524,0.004456429791000524
51,EGR2 (1959),0.0005949657710866144,True,0.003966842387840832,0.003966842387840832
52,ARF6 (382),0.0005883171340944653,True,-0.002905611605708801,0.002905611605708801
53,ALDH3A2 (224),0.0005871076763991017,True,0.0023186338559023543,0.0023186338559023543
54,CLMP (79827),0.0005864176400214993,True,-0.0011373471604473444,0.0011373471604473444
55,BCL2 (596),0.0005844750043723991,True,0.003787827253115897,0.003787827253115897
56,PLIN3 (10226),0.0005753888669027609,True,-0.0014830079144817067,0.0014830079144817067
57,WFIKKN2 (124857),0.0005679711038158743,True,-0.002479617230972952,0.002479617230972952
58,AKTIP (64400),0.0005666147713744311,True,-0.002041356970923329,0.002041356970923329
59,GPD2 (2820),0.0005656439430312798,True,0.0027548334802455503,0.0027548334802455503
60,HLCS (3141),0.0005607213492447882,True,0.005827179348606816,0.005827179348606816
61,COMMD7 (149951),0.0005603039406801122,True,-0.004857298881110134,0.004857298881110134
62,MFAP3L (9848),0.000558313262823665,True,0.005978415425555787,0.005978415425555787
63,MPDU1 (9526),0.0005529234943480912,True,1.2519733132732284e-05,1.2519733132732284e-05
64,ATP5F1A (498),0.0005503738167683483,True,0.00424227180321033,0.00424227180321033
65,DTWD2 (285605),0.0005481117833268406,True,0.005196654561471605,0.005196654561471605
66,PSMA1 (5682),0.0005479273350908515,True,-0.00305694868985352,0.00305694868985352
67,FBXW12 (285231),0.0005446942206483883,True,0.0035542250829139325,0.0035542250829139325
68,TMEM19 (55266),0.0005389115352493062,True,0.005419050589641886,0.005419050589641886
69,HOXC10 (3226),0.000538801297671433,True,0.004692676734148664,0.004692676734148664
70,YBX2 (51087),0.0005366227623290953,True,0.005371622105488416,0.005371622105488416
71,GLCCI1 (113263),0.0005294247273949315,True,-0.001367429066380686,0.001367429066380686
72,KANK3 (256949),0.0005269038460377029,True,-0.0006839186629815971,0.0006839186629815971
