rank,feature,random_forest_importance,selected,ridge_coefficient,absolute_ridge_coefficient
1,SCML2 (10389),0.003545287928537625,True,0.0018817656711276425,0.0018817656711276425
2,ITGA6 (3655),0.00305343562417237,True,-0.0017682477548918523,0.0017682477548918523
3,TNFRSF14 (8764),0.0020307733197793263,True,-0.0024420682177542594,0.0024420682177542594
4,GPR156 (165829),0.0018721638213054306,True,0.003076447119502132,0.003076447119502132
5,SERPINB5 (5268),0.0018607914160971985,True,-0.00038764542919714207,0.00038764542919714207
6,RAI2 (10742),0.0017933003172781058,True,0.0024885931036280205,0.0024885931036280205
7,ST6GALNAC6 (30815),0.0016856247550622696,True,0.0013710031637023982,0.0013710031637023982
8,CEACAM1 (634),0.001657891434517892,True,-0.002147912422001618,0.002147912422001618
9,RWDD2A (112611),0.0015335336418044031,True,0.0030651730108859645,0.0030651730108859645
10,TMEFF1 (8577),0.001489902638553821,True,0.0009711844739665283,0.0009711844739665283
11,KIF1B (23095),0.0014271784864595097,True,0.002223018262556503,0.002223018262556503
12,DNAJB4 (11080),0.0014017786419571188,True,0.0049287459408349716,0.0049287459408349716
13,RAB38 (23682),0.001367582735165841,True,1.1779014220038731e-05,1.1779014220038731e-05
14,DNAAF8 (146562),0.0013535199425131518,True,0.0033480665794129675,0.0033480665794129675
15,CITED2 (10370),0.0013359244026309239,True,0.001488838344579023,0.001488838344579023
16,DUSP10 (11221),0.001313664406620688,True,-0.0019379320154397973,0.0019379320154397973
17,AMOTL2 (51421),0.0013066224589395534,True,0.0021660467384763587,0.0021660467384763587
18,B4GALNT4 (338707),0.0013040267645147102,True,0.0032868308036674418,0.0032868308036674418
19,ENTREP2 (23359),0.001286161736555387,True,0.0037629583241133658,0.0037629583241133658
20,SH3TC2 (79628),0.0012741441248248215,True,-0.0037059465801027674,0.0037059465801027674
21,RNF128 (79589),0.0012662012268980197,True,-0.001842380361248096,0.001842380361248096
22,SLC18A3 (6572),0.0012620673094432113,True,0.0005686663580668266,0.0005686663580668266
23,ZNF347 (84671),0.0012614357375027743,True,0.00365239567841792,0.00365239567841792
24,CCN1 (3491),0.0012505525813188937,True,0.004031506478370736,0.004031506478370736
25,LRRC4C (57689),0.0012497970050072294,True,0.00022883066247726528,0.00022883066247726528
26,KIF17 (57576),0.0012161042241672524,True,-0.0023612533469776387,0.0023612533469776387
27,ZNF682 (91120),0.001146267951922827,True,0.001537920359546624,0.001537920359546624
28,UCP2 (7351),0.0011443916250521281,True,0.0016808812931165093,0.0016808812931165093
29,SLAMF7 (57823),0.0011044649197414732,True,-0.005427569651278687,0.005427569651278687
30,USP1 (7398),0.001094096618508016,True,0.002119569755133764,0.002119569755133764
31,JAK1 (3716),0.0010800135229100407,True,0.0030329089821739307,0.0030329089821739307
32,ZNF263 (10127),0.0010727654676353318,True,0.00300595304922026,0.00300595304922026
33,PDE6B (5158),0.0010613035041692803,True,0.00019838785543569023,0.00019838785543569023
34,PHACTR4 (65979),0.0010494346938082634,True,-0.0003686692268066445,0.0003686692268066445
35,TCN1 (6947),0.0010433903345607558,True,-0.0031002820808761974,0.0031002820808761974
36,CTSE (1510),0.0010397827864106887,True,-0.00127954242620959,0.00127954242620959
37,SH3TC1 (54436),0.0010304555350917205,True,-0.004314851511329121,0.004314851511329121
38,B4GALT2 (8704),0.0010274821790425223,True,0.0016843518352021285,0.0016843518352021285
39,CST2 (1470),0.0010258837150640505,True,-0.004756940688312781,0.004756940688312781
40,ZSCAN18 (65982),0.0010218919116863582,True,0.0015471628646006343,0.0015471628646006343
41,ASXL1 (171023),0.001011113166195269,True,0.002204215201903024,0.002204215201903024
42,UBFD1 (56061),0.00100014528697422,True,0.0010955908950642068,0.0010955908950642068
43,UTRN (7402),0.000998382978066306,True,0.004807067482371414,0.004807067482371414
44,UCN2 (90226),0.0009874704485253153,True,-0.003176217495387192,0.003176217495387192
45,GSAP (54103),0.0009818219984288822,True,-0.0007697551087449601,0.0007697551087449601
46,ASTN1 (460),0.00097817614385341,True,0.000872666777076137,0.000872666777076137
47,C1QL1 (10882),0.0009685757615975826,True,0.0015679394081838595,0.0015679394081838595
48,MYL6B (140465),0.000962155117417617,True,0.001492148841068695,0.001492148841068695
49,XKR4 (114786),0.0009610845548406169,True,-7.285655969800777e-05,7.285655969800777e-05
50,UBALD2 (283991),0.0009546485234361093,True,-0.001918642286668193,0.001918642286668193
51,HNF4A (3172),0.0009545236673545445,True,-0.0019623094916524945,0.0019623094916524945
52,ZFP28 (140612),0.0009472740324000568,True,0.0010430207060088885,0.0010430207060088885
53,CCDC167 (154467),0.0009443561817841431,True,0.0049297007900181745,0.0049297007900181745
54,FILIP1 (27145),0.0009428033393956871,True,0.002763208808204608,0.002763208808204608
55,RAB23 (51715),0.000942083481454786,True,0.002850885089184661,0.002850885089184661
56,ECI2 (10455),0.0009367729100059452,True,-0.0015108387485328197,0.0015108387485328197
57,ANKRD52 (283373),0.0009240298613763595,True,0.002896550714633496,0.002896550714633496
58,ZNF98 (148198),0.0009181020515051777,True,0.0036155832619141383,0.0036155832619141383
59,ZNF2 (7549),0.0009116436757927052,True,0.0010491098575791372,0.0010491098575791372
60,C10orf90 (118611),0.0009084070708122599,True,-0.003024082740593615,0.003024082740593615
61,DCLK2 (166614),0.0009054435396295129,True,0.0005557787460592535,0.0005557787460592535
62,FAM107A (11170),0.0009018785841786247,True,0.0022398802867312512,0.0022398802867312512
63,ACSL5 (51703),0.000896298511029257,True,-0.0006062779117584263,0.0006062779117584263
64,ITPRID2 (6744),0.0008941927372116445,True,-0.0024258512520442393,0.0024258512520442393
65,SLC37A2 (219855),0.0008930368816405449,True,-0.0014076373228490407,0.0014076373228490407
66,ARHGEF17 (9828),0.0008826815957829562,True,0.0010839507797572763,0.0010839507797572763
67,ZNF492 (57615),0.0008805175500946915,True,0.0011837688913169252,0.0011837688913169252
68,ADAMTSL3 (57188),0.0008780208997346033,True,0.0018378046235979022,0.0018378046235979022
69,CLSTN2 (64084),0.0008688305893119753,True,-0.0006854788201909059,0.0006854788201909059
70,CBX1 (10951),0.000868406040838584,True,0.0010233299516538572,0.0010233299516538572
71,CAVIN4 (347273),0.0008661260371340267,True,0.0017693693194869799,0.0017693693194869799
72,FAM171A2 (284069),0.0008597907529294728,True,-0.00037332246421252133,0.00037332246421252133
73,TMEM167B (56900),0.0008570794383221563,True,0.002138544805558402,0.002138544805558402
74,PCDH1 (5097),0.000845273123836113,True,-0.0017177019526939793,0.0017177019526939793
75,ZFP30 (22835),0.0008346522633320507,True,0.000622832518718373,0.000622832518718373
76,NELL2 (4753),0.0008298367652445584,True,0.002810379946149394,0.002810379946149394
77,PDZD2 (23037),0.0008293736043497129,True,0.0027633336466511213,0.0027633336466511213
78,PLEKHG4B (153478),0.0008265255797297957,True,0.0032266750498343437,0.0032266750498343437
79,MED20 (9477),0.0008187995413469172,True,0.0030128124540259186,0.0030128124540259186
80,BACE1 (23621),0.0008159825540084528,True,0.0009681697461112783,0.0009681697461112783
81,RNF26 (79102),0.0008139316865397175,True,0.0032020215584953587,0.0032020215584953587
82,CST1 (1469),0.000812275778116295,True,-0.0027359668926769365,0.0027359668926769365
83,TRAF3IP2 (10758),0.0008079156764658885,True,-0.0017560496053016655,0.0017560496053016655
84,HPGD (3248),0.0007843685136737458,True,-0.0019860062383724687,0.0019860062383724687
85,HSF2 (3298),0.0007825831929937099,True,0.0012897230888242917,0.0012897230888242917
86,ALPL (249),0.0007799584043080834,True,0.0032540659462879287,0.0032540659462879287
87,ALMS1 (7840),0.0007786926506357696,True,0.0019352230965785783,0.0019352230965785783
88,RENBP (5973),0.0007764733623557874,True,-0.0036696296209695195,0.0036696296209695195
89,FAM124A (220108),0.0007717531436655165,True,0.0008457492604790938,0.0008457492604790938
90,ART3 (419),0.0007712637063001254,True,-0.0020968280026859394,0.0020968280026859394
91,ERC2 (26059),0.0007697647258249325,True,0.0027612908136359668,0.0027612908136359668
92,VSIG1 (340547),0.0007664203053241837,True,-0.0024345533081303874,0.0024345533081303874
93,CHN1 (1123),0.0007649711582552283,True,-0.0010357420494730486,0.0010357420494730486
94,LGI2 (55203),0.0007610501539097173,True,0.002168248124635743,0.002168248124635743
95,TNFRSF21 (27242),0.0007585743043446405,True,-0.0022474471213696084,0.0022474471213696084
96,TMEM170B (100113407),0.0007420952561322734,True,0.001251202826583113,0.001251202826583113
97,TENM2 (57451),0.0007410230155404532,True,0.0018204938305885206,0.0018204938305885206
98,TRIM15 (89870),0.0007349182121373941,True,-0.0013211668580272147,0.0013211668580272147
99,SMARCC2 (6601),0.0007330711139708774,True,0.0024208907123498455,0.0024208907123498455
100,DACT3 (147906),0.000730292058785567,True,-0.001135299590434376,0.001135299590434376
101,ETV4 (2118),0.0007185313381810735,True,-0.002825138775611093,0.002825138775611093
102,TMC6 (11322),0.0007184242197723152,True,4.4080138994195e-06,4.4080138994195e-06
103,ZNF625 (90589),0.0007067181580055203,True,-0.00032177715660735564,0.00032177715660735564
104,NLGN4X (57502),0.0007030208201531826,True,0.001006035178223501,0.001006035178223501
105,MAP7D3 (79649),0.0007013650634340382,True,0.001240045521101128,0.001240045521101128
106,MYEOV (26579),0.0007007369121541598,True,-0.004394355243794373,0.004394355243794373
107,ANKS3 (124401),0.0006937250769783244,True,0.00172452589052494,0.00172452589052494
108,FGFR1 (2260),0.0006891838108008081,True,0.0029708211221976047,0.0029708211221976047
109,REST (5978),0.0006879111677815563,True,0.0010358294674605699,0.0010358294674605699
110,CCIN (881),0.000681814033235342,True,0.001231352146281612,0.001231352146281612
111,CTSH (1512),0.0006790191138580904,True,-0.0031311180523926263,0.0031311180523926263
112,MTUS1 (57509),0.000676410916085397,True,-0.0017470541510726668,0.0017470541510726668
113,PTCRA (171558),0.0006713326573032705,True,-0.005099277169003203,0.005099277169003203
114,CPLANE1 (65250),0.000660871608300925,True,0.002681184412012064,0.002681184412012064
115,SCAMP4 (113178),0.0006586789721803906,True,0.0025134188791539553,0.0025134188791539553
116,DNAH8 (1769),0.0006477392057589974,True,0.0024723871146299105,0.0024723871146299105
117,TRIM63 (84676),0.0006468748229867268,True,-0.0010160500532028108,0.0010160500532028108
118,CCRL2 (9034),0.0006466260190458983,True,-0.0028915220000097974,0.0028915220000097974
119,RNF11 (26994),0.0006455274685665381,True,0.0018469672909940098,0.0018469672909940098
120,INSYN1 (388135),0.0006395257192895184,True,0.0009521241652804123,0.0009521241652804123
121,DPPA2 (151871),0.0006358747147972787,True,0.003375436731446254,0.003375436731446254
122,MAP3K20 (51776),0.0006347542491108016,True,0.0015916182885888023,0.0015916182885888023
123,EFHD1 (80303),0.0006274508998006307,True,0.0019605349429734752,0.0019605349429734752
124,SHH (6469),0.0006261024231272721,True,-0.003010553959129965,0.003010553959129965
125,CHD3 (1107),0.0006244272027249858,True,0.002598173092176908,0.002598173092176908
126,VPS37B (79720),0.0006212502967771311,True,-0.0031251521504048036,0.0031251521504048036
127,ZNF610 (162963),0.0006190238201631058,True,0.0031004786797220398,0.0031004786797220398
128,ABCB11 (8647),0.000618579140312851,True,-0.00034142567343163795,0.00034142567343163795
129,RAB3B (5865),0.000618035500066833,True,0.004394838470185518,0.004394838470185518
130,PREPL (9581),0.0006143379642147547,True,0.0009102750074460068,0.0009102750074460068
131,OSBPL6 (114880),0.00061384839410755,True,0.0024737392830904616,0.0024737392830904616
132,ZNF14 (7561),0.0006137251690213662,True,0.0017810135333416596,0.0017810135333416596
133,MAGED2 (10916),0.0006118158675970565,True,0.00039545192042122253,0.00039545192042122253
134,PRSS33 (260429),0.0006091253625654165,True,-0.002088364471941845,0.002088364471941845
135,CDH24 (64403),0.0006076860951914631,True,0.001771803482101801,0.001771803482101801
136,MFAP4 (4239),0.0006071056491986362,True,0.0017256657271385919,0.0017256657271385919
137,TBC1D12 (23232),0.0006065627342529659,True,0.0050865463425019825,0.0050865463425019825
138,SDC2 (6383),0.0006060219869658123,True,0.0018741977914529008,0.0018741977914529008
139,ARL3 (403),0.0006059334272129792,True,0.00023421380529423076,0.00023421380529423076
140,RBMS3 (27303),0.0006057074574256676,True,0.0031179560095894628,0.0031179560095894628
141,ADAM33 (80332),0.0006046477231077499,True,0.004253244987276415,0.004253244987276415
142,EHF (26298),0.0006031851210173705,True,-0.002694927547649669,0.002694927547649669
143,AP2M1 (1173),0.0006017064523847076,True,0.0010017316577684557,0.0010017316577684557
144,CHAT (1103),0.0006015008316241932,True,0.000916142349429592,0.000916142349429592
145,GRM4 (2914),0.0005958652737342626,True,0.0008619116240107716,0.0008619116240107716
146,CREG2 (200407),0.0005954866565499487,True,-0.0029800510704343416,0.0029800510704343416
147,CYP3A5 (1577),0.0005937132946034397,True,-0.002062609987600178,0.002062609987600178
148,DBT (1629),0.0005912943988999084,True,0.000809071749703366,0.000809071749703366
149,SGCG (6445),0.0005907994377246183,True,0.0010438567808404879,0.0010438567808404879
150,ITGA2B (3674),0.0005889296515459452,True,0.0029605255603967554,0.0029605255603967554
151,ZNF512B (57473),0.0005881862047028184,True,0.0038808966951318444,0.0038808966951318444
152,USP28 (57646),0.0005864043707374314,True,0.0034457769003283186,0.0034457769003283186
153,ANKRD13C (81573),0.000586097632932976,True,0.004980663463737315,0.004980663463737315
154,USP54 (159195),0.0005849365368101101,True,-0.002891911314953815,0.002891911314953815
155,ABCA10 (10349),0.0005787061103759411,True,-0.0009707787116530863,0.0009707787116530863
156,UNC79 (57578),0.0005783015906899228,True,3.412147953538321e-05,3.412147953538321e-05
157,ZNF471 (57573),0.0005774074668029876,True,0.0032308734201349394,0.0032308734201349394
158,COPB2 (9276),0.0005757590213007314,True,0.002846367960231397,0.002846367960231397
159,DCLK1 (9201),0.0005747201772450671,True,0.006193343498972966,0.006193343498972966
160,MYOZ3 (91977),0.0005726931557020371,True,0.003251807549302088,0.003251807549302088
161,KRT6B (3854),0.000572402825422768,True,0.0017682487913335074,0.0017682487913335074
162,SBK2 (646643),0.0005720862102272406,True,0.0009565987100204297,0.0009565987100204297
163,HS3ST3B1 (9953),0.0005717093110024767,True,0.0009014431401801328,0.0009014431401801328
164,PRDM6 (93166),0.0005711491441721809,True,-0.0003697220728687161,0.0003697220728687161
165,FNBP1L (54874),0.0005707893210148192,True,0.000365590665694734,0.000365590665694734
166,LRRC14B (389257),0.0005698677611556841,True,0.0035862234315225624,0.0035862234315225624
167,ZG16B (124220),0.0005671735481528159,True,-0.0027611985650581486,0.0027611985650581486
168,TBL1X (6907),0.0005663481331526238,True,0.0005375131230342451,0.0005375131230342451
169,FERMT1 (55612),0.0005621164534424093,True,-0.0024941920853766455,0.0024941920853766455
170,ZNF559 (84527),0.0005587137811405474,True,0.0017033985584919093,0.0017033985584919093
171,ZNF578 (147660),0.0005577508008931979,True,0.0017454212572946576,0.0017454212572946576
172,ZFAND3 (60685),0.0005552021744952401,True,0.0030427638966401154,0.0030427638966401154
173,SH3BP1 (23616),0.0005549262412099368,True,-0.0015104039342102313,0.0015104039342102313
174,ULK2 (9706),0.0005541196096389252,True,0.0033976633664785324,0.0033976633664785324
175,ST6GAL2 (84620),0.0005530930618481282,True,-0.0018043860857034331,0.0018043860857034331
176,MAPK14 (1432),0.0005515032046598742,True,0.0029474284749324135,0.0029474284749324135
177,WDFY3 (23001),0.0005498181496323316,True,0.000855204980658282,0.000855204980658282
178,SDR16C5 (195814),0.0005479947305188394,True,-0.002826120892317217,0.002826120892317217
179,CYP46A1 (10858),0.0005477149308490229,True,0.0006301095712562788,0.0006301095712562788
180,ZBTB8A (653121),0.0005461258640505055,True,-0.0004933140271559609,0.0004933140271559609
181,SVIL (6840),0.0005455010712569266,True,-0.0016101442161290717,0.0016101442161290717
182,IGF2BP3 (10643),0.0005421088092446648,True,-0.0006432647773185428,0.0006432647773185428
183,PLPPR2 (64748),0.0005419896433719748,True,-0.0007196134705871471,0.0007196134705871471
184,SYNDIG1 (79953),0.0005415179774735858,True,0.00015760248787162446,0.00015760248787162446
185,ST3GAL5 (8869),0.0005409492987336346,True,-0.003311289517129796,0.003311289517129796
186,PLCB4 (5332),0.0005395692415382918,True,0.004863654604931192,0.004863654604931192
187,ANO1 (55107),0.0005351291062629,True,-0.002828862342665624,0.002828862342665624
188,BRD3 (8019),0.0005328094907991331,True,-0.0003950380112431526,0.0003950380112431526
189,RRAGB (10325),0.0005323771333356899,True,0.0026316241542817496,0.0026316241542817496
190,MSX1 (4487),0.0005308035168792969,True,0.004672638767495822,0.004672638767495822
191,MT-ATP6 (4508),0.000527066882272069,True,-0.0019369780267280566,0.0019369780267280566
192,ZNF681 (148213),0.0005270216589254433,True,-0.0015722354503226541,0.0015722354503226541
193,COL18A1 (80781),0.0005265975282594821,True,0.0010875563278805215,0.0010875563278805215
194,PSMD10 (5716),0.0005258917835014023,True,0.000993135151330637,0.000993135151330637
195,KIF1A (547),0.0005240749262533295,True,0.0021685344965504095,0.0021685344965504095
196,CRMP1 (1400),0.0005222736215600848,True,-0.0007703882063115092,0.0007703882063115092
197,TFE3 (7030),0.000522180049862199,True,0.002423227823190127,0.002423227823190127
198,ZNF417 (147687),0.0005220984895554084,True,0.0011393249736206428,0.0011393249736206428
199,ZNF727 (442319),0.0005218347900150633,True,-9.732252705403567e-05,9.732252705403567e-05
200,EVL (51466),0.0005206507795472491,True,0.0013669224584570456,0.0013669224584570456
201,MRFAP1 (93621),0.0005197619183451821,True,-0.0006420205878257014,0.0006420205878257014
202,ODAD2 (55130),0.0005197154915524597,True,-0.0004605643186160614,0.0004605643186160614
203,WTIP (126374),0.000517858732994902,True,0.0019119919517575313,0.0019119919517575313
204,ZNF570 (148268),0.0005168177894335022,True,0.00046729622444666434,0.00046729622444666434
205,AREG (374),0.0005163654940648825,True,-0.001964262336295832,0.001964262336295832
206,SAXO1 (158297),0.0005139451563323671,True,0.001943984099563631,0.001943984099563631
